CUISINE_TYPE,RECIPE_ID
mediterranean,779030
european,779030
italian,779030
southern,570773
american,827452
american,587232
asian,615266
indian,615266
mediterranean,77003
european,77003
italian,77003
mediterranean,698480
european,698480
italian,698480
mexican,697617
american,589805
asian,302120
indian,302120
chines,98973
asian,98973
american,528821
american,740198
chines,246904
asian,246904
mexican,549417
mexican,445405
middl eastern,559543
american,718862
american,604218
mediterranean,765143
european,765143
french,765143
american,745043
asian,719156
vietnames,719156
asian,553213
thai,553213
mexican,798939
mediterranean,760582
european,760582
italian,760582
african,93984
mexican,300441
mediterranean,591620
european,591620
italian,591620
mexican,526152
mediterranean,522725
european,522725
italian,522725
american,82893
southern,71010
greek,586245
mediterranean,586245
european,586245
mediterranean,545724
european,545724
italian,545724
american,245520
american,484709
asian,557140
thai,557140
mediterranean,382767
european,382767
french,382767
mediterranean,446297
european,446297
italian,446297
american,44406
mexican,567987
american,522222
southern,597050
southern,481734
chines,520312
asian,520312
mediterranean,553948
european,553948
italian,553948
mexican,536976
asian,224456
indian,224456
american,63863
greek,506631
mediterranean,506631
european,506631
mediterranean,669163
european,669163
italian,669163
asian,760256
thai,760256
mexican,522169
mexican,621207
asian,628651
korean,628651
greek,629231
mediterranean,629231
european,629231
mediterranean,469201
european,469201
italian,469201
mediterranean,510529
european,510529
italian,510529
southern,694468
american,733264
southern,610443
spanish,568430
european,568430
mediterranean,590935
european,590935
italian,590935
southern,71064
mediterranean,197501
european,197501
italian,197501
american,604141
mediterranean,800691
european,800691
french,800691
asian,478335
korean,478335
mediterranean,15221
european,15221
italian,15221
european,537441
english,537441
british,537441
scottish,537441
mediterranean,477337
european,477337
italian,477337
american,309235
american,248890
american,63506
american,591671
asian,679194
indian,679194
southern,775112
spanish,603393
european,603393
american,629795
asian,744940
indian,744940
american,518812
mexican,743501
middl eastern,103610
mediterranean,770632
european,770632
italian,770632
mediterranean,379516
european,379516
italian,379516
american,613093
asian,697679
vietnames,697679
mexican,565371
mexican,83935
southern,717197
greek,337404
mediterranean,337404
european,337404
asian,472346
indian,472346
american,591068
european,209816
eastern european,209816
mediterranean,562855
european,562855
italian,562855
southern,600251
american,410928
mexican,16740
american,198955
asian,248421
thai,248421
mexican,618875
mexican,551968
mexican,26286
mediterranean,222046
european,222046
italian,222046
greek,645265
mediterranean,645265
european,645265
japanes,549759
asian,549759
german,428966
european,428966
american,35587
mediterranean,606358
european,606358
french,606358
american,631596
american,593821
mexican,588012
american,578263
american,800971
american,131256
mediterranean,249180
european,249180
french,249180
american,591695
american,590092
american,619499
american,541648
mediterranean,494138
european,494138
italian,494138
american,517160
american,550023
american,505362
mediterranean,584687
european,584687
french,584687
southern,612141
asian,669040
vietnames,669040
asian,796039
thai,796039
american,551620
jewish,195611
middl eastern,792867
european,612392
english,612392
british,612392
scottish,612392
chines,567804
asian,567804
american,527096
mediterranean,570468
european,570468
italian,570468
asian,205578
indian,205578
american,63623
southern,515227
japanes,812047
asian,812047
mediterranean,550372
european,550372
french,550372
chines,764646
asian,764646
greek,199909
mediterranean,199909
european,199909
mediterranean,521953
european,521953
italian,521953
southern,627065
