DIET,RECIPE_ID
vegetarian,528053
vegetarian,779030
gluten free,779030
gluten free,496981
dairy free,496981
gluten free,518865
vegetarian,59640
gluten free,522568
dairy free,522568
vegetarian,550696
vegan,550696
gluten free,550696
dairy free,550696
vegetarian,570773
gluten free,83611
dairy free,83611
vegetarian,475719
vegetarian,119668
vegetarian,827452
gluten free,312781
dairy free,312781
vegetarian,548699
vegan,548699
dairy free,548699
vegetarian,22013
vegan,22013
dairy free,22013
healthy,22013
gluten free,615266
vegetarian,795081
vegan,795081
dairy free,795081
vegetarian,589723
gluten free,589723
dairy free,525528
healthy,525528
vegetarian,513367
gluten free,513367
ketogenic,513367
dairy free,519978
gluten free,509432
gluten free,41830
dairy free,41830
vegetarian,36279
vegan,36279
gluten free,36279
dairy free,36279
vegetarian,622992
vegan,622992
gluten free,622992
dairy free,622992
healthy,622992
vegetarian,620437
vegan,620437
gluten free,620437
dairy free,620437
dairy free,696974
vegetarian,698480
vegan,698480
dairy free,698480
vegetarian,697617
vegetarian,589805
vegan,589805
gluten free,589805
dairy free,589805
dairy free,302120
gluten free,522338
gluten free,494349
gluten free,716558
vegetarian,746819
gluten free,746819
dairy free,810495
gluten free,98973
dairy free,98973
gluten free,17665
dairy free,17665
vegetarian,70216
vegetarian,528821
gluten free,528821
vegetarian,227306
vegan,227306
gluten free,227306
dairy free,227306
vegetarian,79589
gluten free,79589
dairy free,79589
vegetarian,759337
vegan,759337
gluten free,759337
dairy free,759337
gluten free,740198
dairy free,740198
vegetarian,252857
gluten free,252857
gluten free,246904
dairy free,246904
gluten free,226928
dairy free,226928
dairy free,448603
vegetarian,65673
vegetarian,575569
vegan,575569
gluten free,575569
dairy free,575569
healthy,549417
gluten free,445405
dairy free,559543
vegetarian,549316
gluten free,718862
healthy,718862
gluten free,395146
vegetarian,688171
gluten free,688171
vegetarian,496195
vegan,496195
gluten free,496195
dairy free,496195
gluten free,604218
dairy free,604218
gluten free,765143
vegetarian,211234
vegan,211234
gluten free,211234
dairy free,211234
vegetarian,245495
gluten free,245495
dairy free,245495
gluten free,606951
vegetarian,802350
vegan,802350
gluten free,802350
dairy free,802350
healthy,802350
gluten free,719156
dairy free,719156
gluten free,243549
dairy free,243549
vegetarian,195230
vegan,195230
gluten free,195230
dairy free,195230
healthy,195230
vegetarian,548183
vegan,548183
gluten free,548183
dairy free,548183
dairy free,553213
gluten free,798939
dairy free,798939
vegetarian,500390
vegetarian,520683
gluten free,520683
dairy free,520683
gluten free,568385
dairy free,568385
gluten free,475405
vegetarian,527499
vegan,527499
gluten free,527499
dairy free,527499
vegetarian,119764
vegan,119764
gluten free,119764
dairy free,119764
vegetarian,694192
gluten free,694192
gluten free,246543
dairy free,246543
vegetarian,760582
vegan,760582
gluten free,760582
dairy free,760582
gluten free,147813
dairy free,243882
vegetarian,93984
vegan,93984
gluten free,93984
dairy free,93984
healthy,93984
gluten free,29997
dairy free,29997
healthy,29997
vegetarian,300441
gluten free,300441
gluten free,603595
vegetarian,195529
vegan,195529
gluten free,195529
dairy free,195529
healthy,195529
vegetarian,559460
dairy free,591620
healthy,591620
gluten free,484410
gluten free,607424
gluten free,223251
dairy free,223251
gluten free,208048
healthy,208048
vegetarian,589961
gluten free,526152
dairy free,526152
vegetarian,54045
vegan,54045
gluten free,54045
dairy free,54045
vegetarian,224093
vegan,224093
dairy free,224093
vegetarian,522725
vegan,522725
dairy free,522725
gluten free,523058
dairy free,523058
gluten free,693751
dairy free,693751
vegetarian,521971
gluten free,521971
gluten free,468430
gluten free,523221
dairy free,523221
gluten free,82893
dairy free,82893
vegetarian,622358
gluten free,622358
vegetarian,71010
vegan,71010
dairy free,71010
gluten free,695899
dairy free,695899
vegetarian,696677
gluten free,696677
gluten free,712885
vegetarian,564259
gluten free,138764
dairy free,138764
gluten free,599838
dairy free,599838
gluten free,586245
ketogenic,586245
vegetarian,671590
gluten free,671590
vegetarian,696747
vegan,696747
gluten free,696747
dairy free,696747
gluten free,553779
vegetarian,533579
vegetarian,608181
vegan,608181
gluten free,608181
dairy free,608181
vegetarian,630200
gluten free,630200
dairy free,630200
gluten free,728536
vegetarian,77462
gluten free,77462
vegetarian,540192
gluten free,540192
gluten free,40686
dairy free,40686
healthy,40686
vegetarian,773304
gluten free,773304
gluten free,574529
dairy free,245520
gluten free,617190
dairy free,617190
vegetarian,202108
vegetarian,56290
dairy free,56290
vegetarian,484709
gluten free,557140
dairy free,557140
vegetarian,528460
vegetarian,765288
gluten free,3642
healthy,3642
vegetarian,296152
vegan,296152
gluten free,296152
dairy free,296152
vegetarian,522132
gluten free,522132
gluten free,591083
vegetarian,119125
vegan,119125
gluten free,119125
dairy free,119125
vegetarian,548980
gluten free,548980
gluten free,696534
gluten free,682551
vegetarian,44406
gluten free,44406
dairy free,44406
vegetarian,479660
gluten free,479660
dairy free,479660
vegetarian,76481
gluten free,76481
healthy,76481
vegetarian,503175
vegan,503175
gluten free,503175
dairy free,503175
healthy,503175
vegetarian,499766
gluten free,499766
vegetarian,689131
vegetarian,584585
vegan,584585
gluten free,584585
dairy free,584585
vegetarian,567987
vegan,567987
gluten free,567987
dairy free,567987
vegetarian,619075
gluten free,619075
dairy free,525841
vegetarian,24108
vegetarian,534629
gluten free,534629
vegetarian,627370
gluten free,627370
gluten free,597050
vegetarian,593750
vegan,593750
gluten free,593750
dairy free,593750
dairy free,311255
gluten free,604426
gluten free,520422
vegetarian,696789
vegan,696789
gluten free,696789
dairy free,696789
vegetarian,79056
vegetarian,44993
gluten free,44993
vegetarian,481734
vegetarian,245971
vegan,245971
gluten free,245971
dairy free,245971
vegetarian,543503
gluten free,520312
dairy free,520312
gluten free,587963
gluten free,247334
vegetarian,553948
vegetarian,536976
vegetarian,608101
gluten free,608101
vegetarian,680208
gluten free,224456
vegetarian,506631
vegan,506631
gluten free,506631
dairy free,506631
vegetarian,610402
dairy free,610402
gluten free,281663
dairy free,281663
vegetarian,542312
gluten free,814275
vegetarian,690606
gluten free,696732
vegetarian,619768
gluten free,619768
gluten free,223983
dairy free,223983
gluten free,622590
gluten free,76422
dairy free,76422
healthy,76422
vegetarian,557727
vegetarian,760256
dairy free,760256
dairy free,53605
gluten free,84688
gluten free,449742
vegetarian,142253
vegetarian,29495
healthy,29495
gluten free,542022
dairy free,542022
vegetarian,43506
gluten free,43506
gluten free,522169
gluten free,621207
dairy free,621207
vegetarian,554115
gluten free,810062
dairy free,810062
gluten free,610408
dairy free,610408
vegetarian,628651
gluten free,628651
dairy free,628651
vegetarian,40977
gluten free,40977
gluten free,288141
dairy free,288141
gluten free,629231
gluten free,773631
